geoid,households_total,households_0_10k,households_10_15k,households_15_20k,households_20_25k,households_25_30k,households_30_35k,households_35_40k,households_40_45k,households_45_50k,households_50_60k,households_60_75k,households_75_100k,households_100_125k,households_125_150k,households_150_200k,households_200k_plus
480219505013,523,26,0,0,16,46,13,25,0,39,42,97,14,205,0,0,0
480219505021,1020,26,36,15,48,72,18,28,0,56,59,88,242,133,103,49,47
480219505022,719,20,30,7,47,10,19,16,79,40,95,97,47,44,44,22,102
480219505023,488,82,55,30,18,17,0,0,31,0,15,109,26,91,14,0,0
480219506001,963,94,57,20,79,26,41,45,95,32,47,127,52,65,53,83,47
480219506002,451,0,11,47,17,19,0,0,13,0,78,118,118,0,17,13,0
480219506003,663,51,0,20,37,12,36,0,48,0,61,94,102,28,111,15,48
480219507001,364,0,24,22,0,11,29,0,25,9,38,22,95,17,19,53,0
480219507002,271,16,0,32,0,0,7,31,13,14,14,41,22,20,25,0,36
480219507003,440,24,33,0,53,7,8,27,29,5,69,33,41,60,14,37,0
480219507004,631,150,36,64,14,82,0,33,52,8,34,48,42,32,36,0,0
480219508011,754,0,0,21,39,33,0,0,181,78,17,28,89,97,96,47,28
480219508012,484,21,19,19,16,0,0,42,33,39,19,40,24,85,73,12,42
480219508013,684,0,14,48,42,0,61,14,40,94,49,35,51,83,30,80,43
480219508021,1197,19,132,0,12,86,112,21,88,34,155,123,126,232,14,0,43
480219508022,394,25,29,0,45,0,0,13,37,0,79,75,50,25,0,16,0
480219508023,457,30,14,30,21,20,48,0,35,0,0,47,72,52,21,51,16
480239503001,332,69,32,8,13,10,7,11,0,24,17,8,49,35,25,0,24
480239503002,317,15,30,73,13,29,20,9,28,24,0,36,2,0,0,9,29
480239503003,394,71,0,10,20,8,62,57,0,32,35,23,62,0,0,0,14
480239503004,355,32,10,19,8,21,105,21,9,0,19,31,26,13,0,22,19
480239503005,246,7,27,17,21,20,14,34,11,17,0,0,27,40,0,0,11
480259501001,176,12,6,0,10,12,35,18,3,0,15,33,22,0,3,0,7
480259501002,381,4,12,25,12,10,19,20,27,33,14,34,49,59,26,13,24
480259502011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
480259502012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480259502013,398,3,33,32,16,17,0,29,6,3,45,66,77,21,50,0,0
480259502021,234,0,9,12,44,0,15,0,9,0,15,46,14,28,15,27,0
480259502022,709,48,68,32,32,150,16,71,32,53,23,9,47,31,15,33,49
480259502023,442,9,33,0,8,0,66,31,0,14,0,40,55,46,101,14,25
480259502024,412,0,0,0,36,0,18,0,18,64,30,159,19,8,26,0,34
480259503001,468,38,0,25,0,13,100,0,0,83,0,89,32,22,0,9,57
480259503002,458,16,0,0,14,56,37,20,74,65,9,102,45,0,0,20,0
480259503003,581,116,32,55,0,39,23,35,16,69,0,73,43,69,0,11,0
480259503004,207,66,0,27,0,37,6,11,5,0,0,11,44,0,0,0,0
480259503005,419,90,26,68,0,17,12,7,51,38,19,8,0,24,46,13,0
480259504001,423,83,23,7,29,5,14,31,0,53,47,29,57,17,15,13,0
480259504002,235,23,28,5,25,26,24,11,0,0,5,16,27,4,36,5,0
480259505001,269,15,20,32,11,0,14,30,0,0,14,72,33,12,0,0,16
480259505002,234,40,45,56,0,23,7,0,0,0,63,0,0,0,0,0,0
480259505003,289,0,51,42,25,0,24,0,15,0,0,112,10,0,0,10,0
480259505004,256,11,0,0,0,47,0,12,13,51,63,0,59,0,0,0,0
480259505005,139,0,0,18,46,0,12,0,0,0,6,0,0,57,0,0,0
480259505006,745,105,140,93,25,0,113,0,14,0,110,61,31,29,0,0,24
480259505007,242,17,48,0,0,22,14,0,0,44,35,38,24,0,0,0,0
480259506001,811,49,79,93,37,39,38,38,61,40,48,108,59,27,23,34,38
480270201001,798,0,28,35,19,85,12,32,36,24,76,80,98,70,62,126,15
480270201002,840,22,40,30,12,27,48,40,70,37,55,82,142,125,54,56,0
480270201003,593,0,42,15,16,26,18,0,69,41,76,125,15,68,33,37,12
